City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Filipe,CV,2021-10-03 00:40:49,14.8961,-24.4956,79.45,82,74,11.52
1,Bethel,US,2021-10-03 00:36:18,41.3712,-73.414,64.92,86,1,3.44
2,Busselton,AU,2021-10-03 00:39:38,-33.65,115.3333,57.04,49,12,14.5
3,Hobart,AU,2021-10-03 00:36:24,-42.8794,147.3294,58.26,96,75,3.0
4,Puerto Ayora,EC,2021-10-03 00:39:52,-0.7393,-90.3518,73.36,90,63,8.16
5,Salalah,OM,2021-10-03 00:40:42,17.0151,54.0924,80.69,89,75,9.22
6,Pittsburg,US,2021-10-03 00:44:52,38.028,-121.8847,95.09,20,1,1.01
7,Bambous Virieux,MU,2021-10-03 00:40:36,-20.3428,57.7575,72.21,88,40,11.5
8,Cortez,US,2021-10-03 00:47:27,37.3489,-108.5859,65.52,45,1,10.36
9,New Norfolk,AU,2021-10-03 00:40:47,-42.7826,147.0587,57.9,70,100,3.0
10,Ziro,IN,2021-10-03 00:47:27,27.6333,93.8333,57.76,96,46,0.34
11,Tuktoyaktuk,CA,2021-10-03 00:40:23,69.4541,-133.0374,37.4,87,90,9.22
12,Ushuaia,AR,2021-10-03 00:39:42,-54.8,-68.3,42.46,75,75,16.11
13,Albany,US,2021-10-03 00:39:34,42.6001,-73.9662,64.81,87,23,3.58
14,Rikitea,PF,2021-10-03 00:38:29,-23.1203,-134.9692,73.35,66,0,20.83
15,Hermanus,ZA,2021-10-03 00:39:34,-34.4187,19.2345,51.91,65,27,0.92
16,Lorengau,PG,2021-10-03 00:47:29,-2.0226,147.2712,85.78,64,41,4.88
17,Yellowknife,CA,2021-10-03 00:38:06,62.456,-114.3525,49.41,94,75,14.97
18,Saskylakh,RU,2021-10-03 00:40:01,71.9167,114.0833,23.31,96,97,5.41
19,Kapaa,US,2021-10-03 00:39:29,22.0752,-159.319,87.78,71,90,3.0
20,Qaanaaq,GL,2021-10-03 00:40:16,77.484,-69.3632,30.13,95,100,15.61
21,Barrow,US,2021-10-03 00:39:45,71.2906,-156.7887,30.22,80,90,13.8
22,Salcia,RO,2021-10-03 00:47:30,44.1408,22.9278,43.57,61,4,5.26
23,Punta Arenas,CL,2021-10-03 00:39:32,-53.15,-70.9167,42.91,81,75,9.22
24,Verkhoyansk,RU,2021-10-03 00:47:30,67.5447,133.385,28.53,66,12,0.74
25,Sindor,RU,2021-10-03 00:47:31,62.8629,51.8905,34.5,89,100,2.66
26,Oistins,BB,2021-10-03 00:44:24,13.0667,-59.5333,84.29,70,40,21.85
27,Harper,LR,2021-10-03 00:47:31,4.375,-7.7169,77.49,83,92,5.55
28,Butaritari,KI,2021-10-03 00:39:43,3.0707,172.7902,82.13,67,25,18.72
29,La Ronge,CA,2021-10-03 00:47:32,55.1001,-105.2842,57.45,54,90,3.44
30,Mataura,NZ,2021-10-03 00:39:26,-46.1927,168.8643,55.47,68,100,2.04
31,Te Anau,NZ,2021-10-03 00:42:18,-45.4167,167.7167,53.01,65,100,1.23
32,Swindon,GB,2021-10-03 00:47:32,51.558,-1.7812,51.89,92,20,3.0
33,Touros,BR,2021-10-03 00:40:32,-5.1989,-35.4608,77.9,82,11,12.53
34,Jamestown,US,2021-10-03 00:39:25,42.097,-79.2353,64.71,75,1,1.01
35,Baherden,TM,2021-10-03 00:47:33,38.4362,57.4316,53.83,35,0,6.82
36,Sinnamary,GF,2021-10-03 00:40:55,5.3833,-52.95,80.51,80,55,11.14
37,Bluff,NZ,2021-10-03 00:40:04,-46.6,168.3333,55.8,73,100,4.97
38,West Wendover,US,2021-10-03 00:47:34,40.7391,-114.0733,72.61,16,1,4.61
39,Khatanga,RU,2021-10-03 00:40:18,71.9667,102.5,15.6,97,66,2.08
40,Chilapa,MX,2021-10-03 00:47:34,22.032,-105.2317,78.73,84,95,3.62
41,Port Lincoln,AU,2021-10-03 00:40:58,-34.7333,135.8667,59.5,62,34,28.07
